time,open,high,low,close,tick_volume,spread,real_volume
6/30/2022 20:00,1.04824,1.04891,1.04769,1.04802,5212,0,0
6/30/2022 21:00,1.04802,1.04841,1.04779,1.04806,4748,0,0
6/30/2022 22:00,1.04806,1.04822,1.04677,1.04788,5241,0,0
6/30/2022 23:00,1.04788,1.0485,1.04787,1.04827,1930,0,0
7/1/2022 0:00,1.04826,1.04854,1.0476,1.04777,1018,7,0
7/1/2022 1:00,1.0478,1.04813,1.04734,1.04764,1703,2,0
7/1/2022 2:00,1.04767,1.04795,1.04745,1.04783,1628,0,0
7/1/2022 3:00,1.04783,1.04786,1.04665,1.04712,4849,0,0
7/1/2022 4:00,1.04715,1.04738,1.04637,1.047,5526,0,0
7/1/2022 5:00,1.047,1.04728,1.04619,1.04663,4067,0,0
7/1/2022 6:00,1.04661,1.04674,1.04497,1.04545,4127,0,0
7/1/2022 7:00,1.04541,1.04613,1.0447,1.04538,4207,0,0
7/1/2022 8:00,1.04538,1.04707,1.04522,1.04632,4311,0,0
7/1/2022 9:00,1.04631,1.04703,1.04407,1.04614,7450,0,0
7/1/2022 10:00,1.04614,1.04634,1.04329,1.04463,10383,0,0
7/1/2022 11:00,1.04464,1.04601,1.04368,1.04587,7142,0,0
7/1/2022 12:00,1.04587,1.04693,1.04507,1.0456,7170,0,0
7/1/2022 13:00,1.04561,1.04742,1.04481,1.04507,6014,0,0
7/1/2022 14:00,1.04508,1.04599,1.04317,1.04361,8230,0,0
7/1/2022 15:00,1.0436,1.04395,1.04066,1.04069,7521,0,0
7/1/2022 16:00,1.04068,1.04128,1.03927,1.03998,8658,0,0
7/1/2022 17:00,1.03998,1.04135,1.03657,1.03903,15456,0,0
7/1/2022 18:00,1.03902,1.04201,1.03839,1.04076,9987,0,0
7/1/2022 19:00,1.04076,1.04132,1.03996,1.04015,6181,0,0
7/1/2022 20:00,1.04011,1.04127,1.03935,1.04109,4713,0,0
7/1/2022 21:00,1.04109,1.04322,1.04108,1.04239,3690,0,0
7/1/2022 22:00,1.04239,1.04306,1.04214,1.04285,3551,0,0
7/1/2022 23:00,1.04286,1.04329,1.04247,1.04261,960,0,0
7/4/2022 0:00,1.04146,1.04256,1.04146,1.04226,361,17,0
7/4/2022 1:00,1.04226,1.04362,1.04202,1.04362,2278,2,0
7/4/2022 2:00,1.04361,1.04367,1.04287,1.04324,2701,1,0
7/4/2022 3:00,1.04326,1.04443,1.04302,1.04339,4869,0,0
7/4/2022 4:00,1.04339,1.04398,1.04263,1.04334,5282,0,0
7/4/2022 5:00,1.04335,1.0437,1.04261,1.04317,4309,1,0
7/4/2022 6:00,1.04318,1.0439,1.04241,1.04263,2711,0,0
7/4/2022 7:00,1.04258,1.0429,1.04247,1.04278,1645,0,0
7/4/2022 8:00,1.04278,1.04342,1.04263,1.04332,2243,0,0
7/4/2022 9:00,1.04332,1.04389,1.04219,1.04247,5457,0,0
7/4/2022 10:00,1.04249,1.04388,1.04249,1.04305,6896,0,0
7/4/2022 11:00,1.04305,1.04391,1.04205,1.04376,5121,0,0
7/4/2022 12:00,1.04377,1.04573,1.04351,1.0442,5536,0,0
7/4/2022 13:00,1.0442,1.04559,1.04412,1.04519,3980,0,0
7/4/2022 14:00,1.04519,1.04627,1.0449,1.04521,4387,0,0
7/4/2022 15:00,1.04519,1.0458,1.04455,1.04511,3880,0,0
7/4/2022 16:00,1.04512,1.04575,1.04442,1.04462,3934,0,0
7/4/2022 17:00,1.04459,1.04475,1.04221,1.04234,5752,0,0
7/4/2022 18:00,1.04234,1.04348,1.04169,1.04274,4888,0,0
7/4/2022 19:00,1.04275,1.04312,1.04201,1.04235,2487,0,0
7/4/2022 20:00,1.04235,1.04247,1.04186,1.04213,918,0,0
7/4/2022 21:00,1.04213,1.04254,1.04213,1.04252,872,0,0
7/4/2022 22:00,1.04251,1.04252,1.04211,1.04237,609,0,0
7/4/2022 23:00,1.04237,1.04249,1.04214,1.04221,1047,0,0
